Day,Order No,Part No,Brand,Start Date,Lot Size,Picks,Hours,Country,Wrap Type,CPU,Suggested Line,Qty/Hr,Picks/Hr,Picks/Qty
Day 6,9721590,592009,BVI,2026-01-23,24.0,20.0,1.5414539663999998,Belgium,D113/D256,6.0,Offline,15.569715686061635,12.974763071718028,0.8333333333333334
Day 6,9722004,588565,BVI,2026-01-30,30.0,23.0,1.5209521380000002,Belgium,D113/D256,5.0,No Info,19.72448655711742,15.122106360456687,0.7666666666666667
Day 6,9722345,588677,BVI,2026-02-06,35.0,21.0,1.4719204920000002,Italy,D113/D265,5.0,No Info,23.778458272867088,14.267074963720253,0.6
Day 6,9720912,588201,BVI,2026-01-23,28.0,22.0,1.4195553288,Germany,D113/D256,7.0,Offline,19.72448655711742,15.497810866306544,0.7857142857142857
Day 6,9719042,591893,BVI,2026-01-20,20.0,34.0,1.40138162,Austria,D113/D256,5.0,Offline,14.271630021806622,24.26177103707126,1.7
Day 6,9722356,588681,BVI,2026-02-06,36.0,17.0,1.3498688196000002,Italy,D113/D265,12.0,No Info,26.66925813625927,12.593816342122432,0.4722222222222222
Day 6,9721660,588958,BVI,2026-01-23,20.0,11.0,1.116617504,Belgium,D113/D256,0.0,Offline,17.911236326096496,9.851179979353073,0.55
Day 6,9718835,592025,BVI,2026-01-16,25.0,5.0,0.598905495,Germany,D113/D256,25.0,Offline,41.74281286231979,8.348562572463958,0.2
Remainder,9720820,588704,BVI,2026-01-20,9.0,29.0,0.5740075701,Japan,D113/D256,9.0,Offline,15.679235725814689,50.521981783180664,3.2222222222222223
Remainder,9721658,588938,BVI,2026-01-23,9.0,20.0,0.5805320994000001,France,D113/D256,9.0,Offline,15.503018712146684,34.451152693659296,2.2222222222222223
Remainder,9721047,590834,BVI,2026-01-23,20.0,10.0,0.5779101600000001,Denmark,D113/D256,20.0,Offline,34.60745524875354,17.30372762437677,0.5
Remainder,9721093,591964,BVI,2026-01-23,14.0,14.0,0.5459729184,Belgium,D113/D256,7.0,Offline,25.64229749898159,25.64229749898159,1.0
Remainder,9720874,588076,BVI,2026-01-23,15.0,16.0,0.5352044715000001,UK,D120,15.0,Offline,28.0266716717818,29.895116449900584,1.0666666666666667
Remainder,9721065,591207,BVI,2026-01-23,12.0,22.0,0.5128632912,UK,D113/D256,12.0,Offline,23.398048185360164,42.8964216731603,1.8333333333333333
Remainder,9721050,591834,BVI,2026-01-23,15.0,13.0,0.455979786,Italy,D113/D256,15.0,Offline,32.896195095806284,28.510035749698783,0.8666666666666667
Remainder,9721098,591597,BVI,2026-01-23,14.0,10.0,0.4095175714,Belgium,D113/D256,7.0,Offline,34.18656726288644,24.418976616347457,0.7142857142857143
Remainder,9720897,588768,BVI,2026-01-23,10.0,9.0,0.4020521692967041,France,D113/D256,10.0,Offline,24.872394091275897,22.385154682148308,0.9
Remainder,9720878,588781,BVI,2026-01-23,5.0,28.0,0.221317847,Belgium,D113/D256,5.0,Offline,22.59194216723064,126.5148761364916,5.6
Remainder,9722073,588848,BVI,2026-01-30,10.0,29.0,0.558308752,UK,D113/D256,10.0,Offline,17.911236326096496,51.942585345679845,2.9
Remainder,9721915,588448,BVI,2026-01-30,18.0,8.0,0.4716551826,Belgium,D113/D256,9.0,Offline,38.163473367927324,16.96154371907881,0.4444444444444444
Remainder,9721871,590270,BVI,2026-01-30,10.0,18.0,0.42123610799999994,France,D113/D256,5.0,Offline,23.739655290899236,42.73137952361862,1.8
Remainder,9722103,NS58871199,BVI,2026-02-04,10.0,22.0,0.443368109,Italy,D113/D265,0.0,Offline,22.554621762387516,49.620167877252534,2.2
Remainder,9721103,591616,BVI,2026-02-06,14.0,19.0,0.5666974306,Belgium,D113/D256,7.0,Offline,24.704541160840055,33.52759157542579,1.3571428571428572
Remainder,9722266,588509,BVI,2026-02-06,16.0,13.0,0.5536577072,Sweden,D113/D256,16.0,Offline,28.898721704636646,23.480211385017274,0.8125
Remainder,9722338,588772,BVI,2026-02-06,10.0,16.0,0.541500475,France,D113/D256,10.0,Offline,18.467204483984986,29.54752717437598,1.6
Remainder,9722224,588366,BVI,2026-02-06,7.0,28.0,0.4998036134,Denmark,D113/D261,7.0,Offline,14.005500985439653,56.02200394175861,4.0
